subject,state,radar,start_s,end_s,duration_s,rsp_rr_bpm,ecg_hr_bpm,radar_rr_bpm,radar_hr_bpm,rr_abs_error,hr_abs_error,quality,motion_index,primary_bin,ghost_bin
S08_MDO,스쿼트,2,493.17,553.1700000000001,60.00000000000006,5.4931640625,71.42857142857143,5.402536707862871,128.95631445574003,0.09062735463712901,57.5277430271686,0.01827174046109623,0.09138553928728799,58,13
S08_MDO,스쿼트,3,493.17,553.1700000000001,60.00000000000006,5.4931640625,71.42857142857143,4.98046875,47.50074259503472,0.5126953125,23.927828833536708,0.04351253363230773,0.11889952545795174,30,7
S08_MDO,의자 착석,1,553.1700000000001,568.1700000000001,15.0,28.05230645346969,132.7433628318584,6.361091782085786,52.61738799343253,21.691214671383904,80.12597483842588,0.03606129977322563,0.03547433537882572,9,62
S08_MDO,의자 착석,2,553.1700000000001,568.1700000000001,15.0,28.05230645346969,132.7433628318584,7.202074875367054,45.1171875,20.850231578102637,87.6261753318584,0.009313141468429582,0.041627755418916515,20,15
S08_MDO,의자 착석,3,553.1700000000001,568.1700000000001,15.0,28.05230645346969,132.7433628318584,6.7990621594292255,45.1171875,21.253244294040464,87.6261753318584,0.01932536750874327,0.032696430085068395,16,75
S08_MDO,운동 후 호흡,1,573.1700000000001,623.1700000000001,50.0,28.13559166570451,109.4890510948905,28.14553230328543,56.6948023429371,0.009940637580921674,52.7942487519534,0.01954742228725615,0.029547018702225473,13,17
S08_MDO,운동 후 호흡,2,573.1700000000001,623.1700000000001,50.0,28.13559166570451,109.4890510948905,28.212258903920905,56.43673128577976,0.07666723821639465,53.05231980911074,0.03476769944169433,0.03366935425199818,19,73
S08_MDO,운동 후 호흡,3,573.1700000000001,623.1700000000001,50.0,28.13559166570451,109.4890510948905,28.113629359359415,54.29694230141597,0.021962306345095328,55.19210879347453,0.008470678826313903,0.02538651657040597,14,40
S09_HDH,평소 호흡,1,284.8620000000001,334.8620000000001,50.0,16.255178181303034,77.31958762886597,6.43608426493829,45.1171875,9.819093916364743,32.202400128865975,0.033436684015387554,0.02588152840099387,13,47
S09_HDH,평소 호흡,2,284.8620000000001,334.8620000000001,50.0,16.255178181303034,77.31958762886597,16.17187782337649,47.955152522642976,0.083300357926543,29.364435106223,0.02316546406488785,0.02535937581008909,65,31
S09_HDH,평소 호흡,3,284.8620000000001,334.8620000000001,50.0,16.255178181303034,77.31958762886597,7.7039759190547565,52.143329787448685,8.551202262248278,25.17625784141729,0.012030145598152844,0.02303995642218292,60,77
S09_HDH,느린 호흡,1,344.8620000000001,394.8620000000001,50.0,6.037068107246137,78.74015748031496,6.112944094205874,45.1171875,0.07587598695973696,33.62296998031496,0.09332930363560053,0.027751209276713373,13,64
S09_HDH,느린 호흡,2,344.8620000000001,394.8620000000001,50.0,6.037068107246137,78.74015748031496,6.133989516072351,46.48873655680637,0.0969214088262138,32.25142092350859,0.02766449189652082,0.026802068797495672,19,32
S09_HDH,느린 호흡,3,344.8620000000001,394.8620000000001,50.0,6.037068107246137,78.74015748031496,6.111655437102491,45.1171875,0.07458732985635397,33.62296998031496,0.06330889486288929,0.021267029662660652,14,27
S09_HDH,숨 참기,1,401.8620000000001,428.8620000000001,27.0,7.312013584709023,75.0,5.602572374189892,46.17983966106023,1.709441210519131,28.820160338939772,0.06428254271074509,0.02859813095050573,13,70
S09_HDH,숨 참기,2,401.8620000000001,428.8620000000001,27.0,7.312013584709023,75.0,5.7414561842451635,73.71841013297917,1.5705574004638594,1.281589867020827,0.00573241476048536,0.0278604195808898,75,63
S09_HDH,숨 참기,3,401.8620000000001,428.8620000000001,27.0,7.312013584709023,75.0,5.741833637708647,145.79253419707968,1.5701799470003754,70.79253419707968,0.012006724931491386,0.020841900855537766,61,19
S09_HDH,숨참기 후 호흡,1,434.8620000000001,484.8620000000001,50.0,11.707793443239497,84.98583569405099,5.5678118663611835,47.64728905582703,6.139981576878314,37.33854663822396,0.04686285989874912,0.028283974406827384,58,18
S09_HDH,숨참기 후 호흡,2,434.8620000000001,484.8620000000001,50.0,11.707793443239497,84.98583569405099,11.727967990705785,45.1171875,0.020174547466288217,39.86864819405099,0.014686031383511891,0.027563429595128537,65,28
S09_HDH,숨참기 후 호흡,3,434.8620000000001,484.8620000000001,50.0,11.707793443239497,84.98583569405099,7.45637508020966,48.26470075013281,4.251418363029837,36.72113494391818,0.0225906893192467,0.021947209384768445,60,77
S09_HDH,운동 준비,1,489.8620000000001,504.8620000000001,15.0,8.459922223153178,102.04081632653062,7.81987908515862,45.1171875,0.6400431379945584,56.92362882653062,0.018783094573659818,0.047806852941242095,81,14
S09_HDH,운동 준비,2,489.8620000000001,504.8620000000001,15.0,8.459922223153178,102.04081632653062,8.203258414035243,50.05060992095234,0.25666380911793496,51.99020640557828,0.0072436717813926165,0.04754812168413905,66,28
S09_HDH,운동 준비,3,489.8620000000001,504.8620000000001,15.0,8.459922223153178,102.04081632653062,8.866596567009903,45.1171875,0.4066743438567251,56.92362882653062,0.012482737883554825,0.04662998265309526,54,8
S09_HDH,스쿼트,1,504.8620000000001,564.8620000000001,60.0,16.535096460480602,103.09278350515464,5.169062879499347,48.115098033459915,11.366033580981256,54.97768547169473,0.029332156390477742,0.08472889202893472,63,18
